fix_status	priority	status	coverage	lane	area	swift	ts	portTodos	n_gaps	gaps	commit	notes
fixed	medium	minor	90	1	chart	Sources/EChartsKit/chart/heatmap/HeatmapView.swift	upstream/echarts/src/chart/heatmap/HeatmapView.ts	0	4	_renderOnCalendar and _renderOnMatrix omit setLabelStyle, so calendar/matrix heatmap cells render no per-cell value labels (upstream applies them in _renderOnGridLike) ||| matrix and calendar cell Rects omit upstream's z2:1 ||| incremental path omits rect.incremental = getIncrementalId(...) and emphasis.hoverLayer = HOVER_LAYER_FOR_INCREMENTAL ||| calendar path builds cells from dataToPoint±cellSize/2 rather than upstream dataToLayout().contentRect||rect, ignoring cell-gap contentRect	76b70d1	addressed=4
fixed	medium	minor	90	2	component	Sources/EChartsKit/component/legend/LegendView.swift	upstream/echarts/src/component/legend/LegendView.ts	2	5	Per-item tooltip deferred: setTooltipConfig call in _createItem omitted, so legend item tooltip never shows ||| triggerEvent packEventData deferred: legend items emit no eventData when triggerEvent:true ||| Function-form formatter unsupported; only string formatter ('{name}' replace) is applied ||| click omits upstream dispatchSelectAction's downplay-before/highlight-after sequence (only legendToggleSelect fired) ||| Custom-series getLegendIcon receives iconRotate:0 instead of the symbolRotate option, dropping custom icon rotation	1d82eda	deferred=5
fixed	medium	minor	90	2	component	Sources/EChartsKit/component/legend/ScrollableLegendView.swift	upstream/echarts/src/component/legend/ScrollableLegendView.ts	1	3	createPageButton omits the onclick binding, so page-arrow clicks never call _pageGo — user page-flip is a no-op ||| pageFormatter function-callback path unsupported; only the {current}/{total} string template is handled ||| scrollLegendZRColor bridges only string page-icon fill colors; gradient/pattern color objects dropped	9d63d46	deferred=3
skipped	medium	minor	90	3	data	Sources/EChartsKit/data/helper/linkSeriesData.swift	upstream/echarts/src/data/helper/linkSeriesData.ts	0	1	Transferable downSample/map and changable filterSelf/selectRange injections are stored but never fired, so struct.update() won't run on filter/selectRange (graph/tree dataZoom+sampling)		deferred=1
fixed	medium	minor	90	3	ZRenderKit	Sources/ZRenderKit/Element.swift	upstream/zrender/src/Element.ts	7	5	updateInnerText omits the autoOverflowArea / overflowRect inverse-transform clamp → inside-text overflow area not computed ||| Hover-layer machinery dropped: shouldUseHoverLayer always returns NO and useState/useStates never set __inHover, so no separate hover-layer promotion ||| saveCurrentToNormalState omits the loop baking a running animateTo's final value into _normalState when a state change interrupts mid-flight ||| _applyStateObj replaced by compute-full-target + animateTo (_computeRestoreTarget/_stateApply); claimed equivalent but is a divergent state-application implementation ||| Legacy position/scale/origin array accessors (createLegacyProperty/enhanceArray) not ported (deprecated shims)	a90dd82	deferred=5
partial	medium	minor	93	1	util	Sources/EChartsKit/util/states.swift	upstream/echarts/src/util/states.ts	2	3	blurComponent drops the `view.focusBlurEnabled` gate: blurs children of ANY component view rather than only opt-in views (Geo), over-blurring ||| createBlurDefaultState omits getFromStateStyle's animator saveTo mining: opacity of an in-flight non-blur style animation is ignored when blurring ||| setAsHighDownDispatcher does not copy highDownSilentOnTouch (ECElement not consumed): touch-silent highlight suppression is a no-op	555985e	addressed=1 | deferred=2
fixed	low	stub	30	2	chart	Sources/EChartsKit/chart/boxplot/boxplotInstall.swift	upstream/echarts/src/chart/boxplot/install.ts	0	2	install() body is commented out; the four register* calls and registerBoxplotAxisHandlers are never invoked from this file (relies on unverified driver wiring) ||| Stale port-notes claim BoxplotView and boxplotTransform are 'NOT ported' though both sibling Swift files now exist and are implemented	872b2f0	addressed=1 | deferred=1
partial	low	minor	60	2	Core	Sources/ZRenderKit/Core/util.swift	upstream/zrender/src/core/util.ts	3	4	each/map/reduce/filter/find only accept arrays; upstream also iterates Dictionary objects and ArrayLike ||| createHashMap/HashMap Map-shim not ported (callers must use Swift Dictionary) ||| isFunction uses a String(describing:type) '->' heuristic; isObject uses Mirror .class — approximations, not exact typeof semantics ||| bind/curry/inherits/mixin/slice/trim/isPrimitive/hasOwn/concatArray not ported (idiomatic call-site replacements)	fbd06a1	addressed=1 | deferred=4
fixed	low	minor	75	2	chart	Sources/EChartsKit/chart/graph/graphHelper.swift	upstream/echarts/src/chart/graph/graphHelper.ts	0	1	getNodeGlobalScale never calls calcCompensationScaleToPreserveNodeSize for a view coord sys — always returns 1, so nodeScaleRatio/size-compensation under roam zoom is not applied	5f6ff0c	addressed=1
skipped	low	minor	75	1	chart	Sources/EChartsKit/chart/map/mapInstall.swift	upstream/echarts/src/chart/map/install.ts	0	1	createLegacyDataSelectAction('map', registerAction) is deferred → map region legacy select actions unavailable		deferred=1
partial	low	minor	75	2	Core	Sources/ZRenderKit/Core/platform.swift	upstream/zrender/src/core/platform.ts	2	2	createCanvas always returns nil and loadImage is a no-op returning nil (upstream creates a real HTMLCanvasElement / new Image()), so image loading via platformApi is unavailable ||| setPlatformAPI replaces the global platformApi wholesale instead of upstream's per-key partial merge, so single-method overrides drop the other methods	85a8880	addressed=1 | deferred=1
fixed	low	minor	78	1	chart	Sources/EChartsKit/chart/helper/treeHelper.swift	upstream/echarts/src/chart/helper/treeHelper.ts	0	1	wrapTreePathInfo not ported — treePathInfo (name/dataIndex/value chain) for tree/sunburst/treemap getDataParams tooltips unavailable	d22b1ba	deferred=1
skipped	low	minor	85	1	chart	Sources/EChartsKit/chart/bar/pictorialBarInstall.swift	upstream/echarts/src/chart/bar/installPictorialBar.ts	0	1	No code in this file; correctness of the 4 registrations (view, series, cross-series layout, progressive layout) + registerBarGridAxisHandlers depends on ECharts.installOnce wiring not verifiable here		deferred=1
fixed	low	minor	85	3	chart	Sources/EChartsKit/chart/chord/ChordView.swift	upstream/echarts/src/chart/chord/ChordView.ts	0	3	getECData(el).dataIndex tagging not wired on pieces or edges, so hover/tooltip/highlight cannot resolve the chord datum ||| first-render grow-in scale animation deferred (group.scaleX/Y=0.01 + parsePercent origin + graphic.initProps to 1); renders at final scale immediately ||| removeElementWithFadeOut on removed nodes/edges deferred; static rebuild drops elements instantly with no fade-out	96450d9	addressed=3
skipped	low	minor	85	1	chart	Sources/EChartsKit/chart/effectScatter/effectScatterInstall.swift	upstream/echarts/src/chart/effectScatter/install.ts	0	1	registerLayout(layoutPoints('effectScatter')) is not wired; per-datum placement is inlined in the view instead of a registered layout stage		deferred=1
skipped	low	minor	85	2	chart	Sources/EChartsKit/chart/graph/createView.swift	upstream/echarts/src/chart/graph/createView.ts	2	2	getViewRect does not port applyPreserveAspect(seriesModel, viewRect, aspect) — view rect aspect-ratio preservation is skipped (aspect ignored) ||| Does not register through injectCoordSysByOption/createViewCoordSysSimply pipeline; a GraphViewCoordSys stand-in is assigned directly (View returns pixel not data-space rect)		deferred=2
fixed	low	minor	85	1	chart	Sources/EChartsKit/chart/heatmap/HeatmapBlurLayer.swift	upstream/echarts/src/chart/heatmap/HeatmapLayer.ts	0	2	_getGradient stores gradient alpha as clampU8(c[3]*255) not upstream's 0/1 Uint8ClampedArray rounding, so update()'s `gradient[+3]*alpha*256` overflows and clamps every heat pixel to full opacity (breaks the soft fade / minOpacity) ||| canvas shadowBlur Gaussian brush replaced by analytic smootherstep falloff in _getBrush; blob edge shape only approximates the Gaussian (sanctioned deviation)	5050af3	deferred=2
fixed	low	minor	85	1	chart	Sources/EChartsKit/chart/line/LineSeries.swift	upstream/echarts/src/chart/line/LineSeries.ts	0	4	defaultOption omits `emphasis: { scale: true }` so line symbols do not scale on hover by default ||| defaultOption omits `label: { position: 'top' }`, changing default line-label placement ||| defaultOption omits `universalTransition: { divideShape: 'clone' }` default for morph transitions ||| getLegendIcon drops upstream's symbolRotate / iconRotate:'inherit' rotation + setOrigin handling	54c6ac2	addressed=4
fixed	low	minor	85	3	chart	Sources/EChartsKit/chart/lines/EffectLine.swift	upstream/echarts/src/chart/helper/EffectLine.ts	0	2	Continuity-trail scaleY stretch for symbolType 'line'/'rect'/'roundRect' deferred (line 262); those effect symbols render without the trailing stretch (default 'circle' unaffected) ||| Upstream `symbol.setStyle(effectModel.getItemStyle(['color']))` not ported — effect.itemStyle (opacity/border) not applied to the trail symbol	a5f083a	addressed=2
partial	low	minor	85	1	chart	Sources/EChartsKit/chart/themeRiver/ThemeRiverView.swift	upstream/echarts/src/chart/themeRiver/ThemeRiverView.ts	0	3	DataDiffer add/remove not ported: layer add/remove or per-layer sample-count change does group.removeAll() rebuild instead of keyed incremental diff, losing per-layer remove/enter transitions ||| createGridClipShape entrance (graphic.Rect clip expanding 0→rect.width+100) deferred; replaced by an opacity fade — different animation mechanism ||| saveOldStyle(polygon) not called on the update/morph path, so style transitions across merge-mode setOption are not preserved	2efe502	addressed=1 | deferred=2
fixed	low	minor	85	2	component	Sources/EChartsKit/component/matrix/MatrixView.swift	upstream/echarts/src/component/matrix/MatrixView.ts	1	6	isFunction(formatter) label path is a no-op — custom function formatters fall through to default text instead of being invoked ||| setTooltipConfig call dropped — cell/text-overflow tooltips not wired (deferred interaction) ||| triggerEvent/getECData(cellRect).eventData block omitted — matrix cell click events with eventData never emitted ||| setLabelStyle replaced by standalone centered ZRText — no textContent inside-positioning, rich text, or state labels ||| label overflow clipPath branch (expandOrShrinkRect/invert/setClipPath) not ported — overflowing cell labels are not clipped to cell bounds ||| cellText.silent = !(triggerEvent||tooltipShow) + ignoreHostSilent not applied to the standalone label element	a6f5b20	
fixed	low	minor	85	2	component	Sources/EChartsKit/component/toolbox/ToolboxModel.swift	upstream/echarts/src/component/toolbox/ToolboxModel.ts	0	2	init() theme-feature backward-compat (_themeFeatureOption extract/recover) not ported ||| optionUpdated omits the per-feature theme merge (merge(featureOpt, themeFeatureOption[name]))	f1fa524	addressed=2
fixed	low	minor	88	1	chart	Sources/EChartsKit/chart/bar/PictorialBarView.swift	upstream/echarts/src/chart/bar/PictorialBarView.ts	0	4	prepareLineWidth omits `valueLineWidth /= pathForLineWidth.getLineScale()`, so borderWidth on rotated/scaled symbols is mis-sized (inert when borderWidth=0 default) ||| createPath drops upstream's ZRImage/`image://` symbol branch (createSymbol emits no images) so image-symbol pictorial bars don't render ||| does not monkeypatch getAnimationDelayParams / __pictorialAnimationIndex, so per-repeat-symbol staggered animationDelay ordering is lost ||| removeBar uses removeElementWithFadeOut (opacity fade of whole bar) instead of upstream per-path scaleX/Y->0 leave animation	49d2660	addressed=1 | deferred=3
skipped	low	minor	88	2	chart	Sources/EChartsKit/chart/boxplot/boxplotTransform.swift	upstream/echarts/src/chart/boxplot/boxplotTransform.ts	0	1	Does not port the SOURCE_FORMAT_ARRAY_ROWS guard/throwError; non-array-rows input is silently coerced to empty rows instead of erroring		deferred=1
fixed	low	minor	88	1	chart	Sources/EChartsKit/chart/helper/EffectSymbolElement.swift	upstream/echarts/src/chart/helper/EffectSymbol.ts	0	3	updateRipplePath uses effectCfg.color only; upstream's `rippleEffectColor || color` is not honored, so rippleEffect.color option is ignored ||| rippleGroup.rotation from symbolRotate (`(symbolRotate||0)*PI/180`) is never applied, so rings don't rotate with the symbol ||| fadeOut(cb) method omitted	7351ce2	addressed=3
fixed	low	minor	88	3	chart	Sources/EChartsKit/chart/lines/linesLayout.swift	upstream/echarts/src/chart/lines/linesLayout.ts	0	2	`plan: createRenderPlanner()` set to nil (signature mismatch) — no per-render incremental/progressive planning split for lines ||| reset guards `coordSys as? Cartesian2D` only — polar/geo/calendar lines produce no layout (protocol-witness dataToPoint deviation)	85bae39	deferred=2
partial	low	minor	88	2	chart	Sources/EChartsKit/chart/sunburst/SunburstPiece.swift	upstream/echarts/src/chart/sunburst/SunburstPiece.ts	1	3	Per-state label placement (x/y/rotation/align of DISPLAY_STATES emphasis/blur/select) deferred; only NORMAL-state geometry is applied ||| Per-state corner-radius shape augmentation deferred: setStatesStylesFromModel sets ensureState().style but not ensureState().shape ||| Entrance animation sweeps endAngle instead of upstream's r0->r radius expansion (documented intentional deviation)	a82dd85	addressed=1 | deferred=2
fixed	low	minor	88	2	chart	Sources/EChartsKit/chart/sunburst/SunburstView.swift	upstream/echarts/src/chart/sunburst/SunburstView.ts	0	3	nodeClick:'link' branch (windowOpen open URL) is deferred — clicking a node configured with link does nothing ||| DataDiffer getId-keyed add/update/remove replaced by positional count-gated reuse (canMorph); identity changes at equal count morph the wrong pieces ||| renderRollUp always removes+recreates virtualPiece instead of updateData-morphing the existing roll-up sector on update	e345e5f	addressed=3
partial	low	minor	88	3	component	Sources/EChartsKit/component/axisPointer/axisTrigger.swift	upstream/echarts/src/component/axisPointer/axisTrigger.ts	6	3	series.getAxisTooltipData branch not ported (candlestick/boxplot/themeRiver axis snap) — always uses default indicesOfNearest ||| linkGroup.mapper is never invoked (makeMapperParam deferred); linked-axis value passes through unmapped instead of scale.parse(mapper(...)) ||| dispatchHighDownActually last-highlight store keyed on ExtensionAPI instead of api.getZr() (no getZr yet) — benign single-instance deviation	39ae1aa	addressed=2 | deferred=1
fixed	low	minor	88	3	component	Sources/EChartsKit/component/marker/MarkPointView.swift	upstream/echarts/src/component/marker/MarkPointView.ts	4	2	Callback-in-data-item branch (function symbol/symbolSize/symbolRotate/symbolOffset invoked with getRawValue/getDataParams) is a no-op stub — function-valued item symbols ignored ||| The `getECData(child).dataModel = mpModel` tooltip host-model tagging (eachItemGraphicEl traverse) is deferred, so markPoint tooltip won't resolve the model	9328796	deferred=2
partial	low	minor	90	1	chart	Sources/EChartsKit/chart/candlestick/CandlestickView.swift	upstream/echarts/src/chart/candlestick/CandlestickView.ts	0	3	_incrementalRenderLarge / createLarge(progressiveEls, incremental) overload is a no-op stub → large+progressive streaming datasets don't render incrementally ||| Element.incremental / getIncrementalId not ported: _incrementalRenderNormal omits el.incremental assignment ||| eachRendered uses group.traverse instead of graphic.traverseElements; progressive-els traversal path deferred	19a1a12	addressed=1 | deferred=2
fixed	low	minor	90	3	chart	Sources/EChartsKit/chart/chord/ChordEdge.swift	upstream/echarts/src/chart/chord/ChordEdge.ts	1	2	saveOldStyle + graphic.updateProps({shape}) enter/update tween deferred; ribbons snap to final shape instead of morphing on data update ||| applyEdgeFill source/target branches drop edgeStyle.decal = node.getVisual('style').decal (Pattern not bridged)	2b4bf96	addressed=2
partial	low	minor	90	1	chart	Sources/EChartsKit/chart/funnel/FunnelView.swift	upstream/echarts/src/chart/funnel/FunnelView.ts	0	2	setLabelLineStyle/getLabelLineStatesModels deferred: labelLine emphasis/blur/select per-state styling not applied (leader polyline drawn inline with a single stroke) ||| textGuideLineConfig.anchor is never set, so the label-guide anchor/turn-angle repositioning machinery is absent	826684f	addressed=1 | deferred=1
skipped	low	minor	90	1	chart	Sources/EChartsKit/chart/helper/LargeSymbolDraw.swift	upstream/echarts/src/chart/helper/LargeSymbolDraw.ts	0	2	incrementalUpdate renders the whole range in one path (no Float32Array subrange split / lastAdded merge); progressive/incremental draw driven by Scheduler task graph is not wired ||| canvas afterBrush fillRect boost replaced by largeSymbolBoostRects painter hook — equivalent output but different mechanism		deferred=2
fixed	low	minor	90	1	chart	Sources/EChartsKit/chart/helper/LineDraw.swift	upstream/echarts/src/chart/helper/LineDraw.ts	0	1	incrementalPrepareUpdate / incrementalUpdate / eachRendered and _progressiveEls are not ported, so progressive/streaming line rendering is unavailable (deferred like SymbolDraw)	a756a98	addressed=1
skipped	low	minor	90	1	chart	Sources/EChartsKit/chart/helper/SymbolElement.swift	upstream/echarts/src/chart/helper/Symbol.ts	0	3	ZRImage image-symbol branch in _updateCommon deferred (image symbols not styled/created) ||| fadeOut animates opacity only; scaleX/scaleY→0 and the fadeLabel text-fade branch deferred ||| __isEmptyBrush empty-brush style-clone branch not ported (empty symbols may mutate shared visual style)		deferred=3
skipped	low	minor	90	2	chart	Sources/EChartsKit/chart/sunburst/sunburstInstall.swift	upstream/echarts/src/chart/sunburst/install.ts	0	1	No live registration code in-file; relies on the Orchestrate/Integrate driver to register the view/model/layout/visual and installSunburstAction		deferred=1
partial	low	minor	90	1	chart	Sources/EChartsKit/chart/tree/TreeSeries.swift	upstream/echarts/src/chart/tree/TreeSeries.ts	0	2	beforeLink's nodeData.wrapMethod('getItemModel') is a no-op stub, so leaf nodes never reparent to leavesModel — `leaves` itemStyle/label/lineStyle options do not apply ||| getDataParams override not ported: tooltip params.treeAncestors (wrapTreePathInfo) and params.collapsed are absent	a68c376	addressed=1 | deferred=1
partial	low	minor	90	2	chart	Sources/EChartsKit/chart/treemap/Breadcrumb.swift	upstream/echarts/src/chart/treemap/Breadcrumb.ts	0	3	onclick=curry(onSelect,itemNode) not wired: clicking a breadcrumb item never drills/zooms (onSelect is a no-op at the TreemapView call site anyway) ||| packEventData omits treePathInfo (wrapTreePathInfo deferred) so breadcrumb event data lacks the tree ancestor path ||| (el as ECElement).disableLabelAnimation = true is a documented no-op	85d68db	addressed=1 | deferred=2
partial	low	minor	90	2	component	Sources/EChartsKit/component/axis/AngleAxisView.swift	upstream/echarts/src/component/axis/AngleAxisView.ts	0	3	axisLabel per-category textStyle override (rawCategoryData[tickValue].textStyle -> new Model) deferred; commonLabelModel used for every label ||| graphic.setTooltipConfig on axis labels deferred (no tooltip wiring) ||| pathStyleFromDict maps only String fill/stroke; gradient/pattern object color and lineDash not bridged	676a6de	addressed=2 | deferred=1
partial	low	minor	90	2	component	Sources/EChartsKit/component/axis/RadiusAxisView.swift	upstream/echarts/src/component/axis/RadiusAxisView.ts	0	3	graphic.groupTransition(oldAxisGroup,newAxisGroup) deferred: no anid-matched transition animation on re-render ||| layoutAxis z2:1 dropped (AxisBuilderCfg has no z2) so axis line/ticks not guaranteed drawn over splitLine/splitArea ||| pathStyleFromDict maps only String fill/stroke; gradient/pattern split colors silently dropped	bb3a145	addressed=1 | deferred=2
skipped	low	minor	90	3	component	Sources/EChartsKit/component/axisPointer/AxisPointerView.swift	upstream/echarts/src/component/axisPointer/AxisPointerView.ts	0	1	render() does not compute triggerOn from tooltip/axisPointer models nor register the updateAxisPointer globalListener; relocated to EChartsView host seam		deferred=1
fixed	low	minor	90	3	component	Sources/EChartsKit/component/calendar/CalendarView.swift	upstream/echarts/src/component/calendar/CalendarView.ts	0	4	_formatterLabel isFunction(formatter) branch is a no-op: a function year/month/day label formatter falls through to nameMap instead of being invoked ||| calendarCreateTextStyle populates only text/font/fill; upstream createTextStyle adds rich-text/textBorder/shadow label style fields ||| calendarPathStyleFromDict maps only String fill/stroke; gradient/pattern itemStyle and lineStyle paints are not parsed ||| lineDash (number[]|false) from splitLine lineStyle is not mapped onto the split-line polyline stroke	f8d715e	addressed=4
fixed	low	minor	90	3	component	Sources/EChartsKit/component/dataZoom/SliderZoomViewDrag.swift	upstream/echarts/src/component/dataZoom/SliderZoomView.ts	0	2	_onActualMoveZoneDrift/DragStart/DragEnd not ported: pan-drag on moveZone lacks the 'grabbing' cursor swap and _showDataInfo(true) reveal (wired via generic _wireDrift(.all) instead) ||| _onDragEnd calls _showDataInfo(false) which is a stubbed no-op, so end-of-drag label hide is inert	4731318	addressed=2 | deferred=1
fixed	low	minor	90	3	component	Sources/EChartsKit/component/marker/MarkLineView.swift	upstream/echarts/src/component/marker/MarkLineView.ts	5	1	The `getECData(el).dataModel = mlModel` tooltip host-model tagging loop is deferred (MarkerModel not DataFormatMixin), so markLine tooltip/formatter won't resolve the model	c8bc266	addressed=1
fixed	low	minor	90	3	component	Sources/EChartsKit/component/timeline/timelineAction.swift	upstream/echarts/src/component/timeline/timelineAction.ts	0	1	timelineChanged event object carries only currentIndex+from, not defaults(...,payload); other payload fields are dropped	1eee72c	addressed=1
fixed	low	minor	90	1	component	Sources/EChartsKit/component/title/installTitle.swift	upstream/echarts/src/component/title/install.ts	0	3	link/sublink 'click' handlers deferred (PORT-NOTE): clicking title/subtext does not call windowOpen to open the target URL ||| getECData(...).eventData wiring deferred: triggerEvent does not attach {componentType:'title', componentIndex} so title mouse events carry no eventData ||| local createTextStyle only sets text/font/fill/x/y/verticalAlign/width; upstream label/labelStyle rich-text, textShadow, lineHeight, ellipsis/overflow, inheritColor, background-box handling on textStyle/subtextStyle is dropped	eb80b4f	addressed=3
partial	low	minor	90	2	component	Sources/EChartsKit/component/toolbox/toolboxAction.swift	upstream/echarts/src/component/toolbox/feature/Restore.ts	0	2	RestoreOption.onclick's history.clear(ecModel) (dataZoom-history reset before restore) not ported in this file ||| computeMagicTypeOption (MagicType.onclick) reduced to line<->bar; 'stack'/'tiled' partial and markPoint/markLine carry-over deferred	29943ed	addressed=1 | deferred=2
partial	low	minor	90	3	component	Sources/EChartsKit/component/visualMap/ContinuousView.swift	upstream/echarts/src/component/visualMap/ContinuousView.ts	0	3	_updateHandle two-handle label-overlap merge (BoundingRect.intersect MTV nudge + switch both labels to 'all'-drag) deferred ||| _showIndicator additive animateTo (cubicInOut duration:100) indicator/label move deferred; final state set directly ||| ZRImage image-indicator branch of _createIndicator not ported (falls back to symbol path)	7878aab	addressed=2 | deferred=1
fixed	low	minor	90	3	coord	Sources/EChartsKit/coord/cartesian/cartesian2dPrepareCustom.swift	upstream/echarts/src/coord/cartesian/prepareCustom.ts	0	1	dataToCoordSize category branch calls axis.getBandWidth() instead of pinned upstream's calcBandWidth(axis).w (breaks/statistics-aware), so api.size() differs on category axes with breaks	53bdaf3	addressed=1
fixed	low	minor	90	2	coord	Sources/EChartsKit/coord/geo/GeoJSONResource.swift	upstream/echarts/src/coord/geo/GeoJSONResource.ts	0	2	fixNanhai not ported: China map's Nanhai islands inset regions are not synthesized ||| fixTextCoord/fixDiaoyuIsland not ported: per-region label-coord and Diaoyu island corrections skipped	2419102	
skipped	low	minor	90	2	core	Sources/EChartsKit/core/Scheduler.swift	upstream/echarts/src/core/Scheduler.ts	6	6	prepareView is a no-op: upstream pipes view.renderTask into the pipeline; deferred to C2 so progressive view render is not scheduler-driven ||| detectSeriseType always returns nil (mock-method reflection unportable); block-range narrowing for legacy pure-function handlers absent (perf only) ||| updateStreamModes ignores seriesModel.__preparePipelineContext override, always calling free preparePipelineContext (dormant while progressive off) ||| restorePipelines does not consult seriesModel.preventIncremental override when gating progressiveEnabled (dormant while progressive off) ||| getTargetSeries iteration uses unordered [String:SeriesModel] vs upstream insertion-ordered HashMap, making series-task/stub pipeline order non-deterministic ||| updatePayload drops the 'remain' sentinel branch (not representable); keep-previous-payload case not exercised		deferred=6
partial	low	minor	90	2	label	Sources/EChartsKit/label/labelLayoutHelper.swift	upstream/echarts/src/label/labelLayoutHelper.ts	2	2	Margin machinery is a documented no-op: marginForce/minMarginForce/marginDefault/__marginType and expandOrShrinkRect expansion are skipped in computeLabelGeometry, so minMargin/textMargin do not enlarge label rects ||| computeLabelGeometry2 (raw-rect+transform geometry, used for axis-break boundary labels) not ported	73f27e1	addressed=1 | deferred=1
skipped	low	minor	90	1	model	Sources/EChartsKit/model/OptionManager.swift	upstream/echarts/src/model/OptionManager.ts	4	3	doPreprocess seam is inert: ECUnitOption is a value type so registered preprocessors can't mutate baseOption/timelineOptions/mediaList in place (timeline & media options never get preprocessing applied) ||| setAsPrimitive typed-array-reuse guard for series.data/dataset.source is a no-op (util.setAsPrimitive not ported) ||| __DEV__ 'Illegal media option { query,option }' shape-error check inside the media loop is dropped		deferred=3
skipped	low	minor	90	2	Core	Sources/ZRenderKit/Core/env.swift	upstream/zrender/src/core/env.ts	0	2	configureNativeEnv overrides touchEventsSupported/transformSupported/transform3dSupported to true, diverging from upstream node branch defaults (deliberate native deviation) ||| detect() UA browser-detection path is never invoked on iOS (dead code, translated only for diffability)		deferred=2
skipped	low	minor	90	2	Core	Sources/ZRenderKit/Core/Eventful.swift	upstream/zrender/src/core/Eventful.ts	1	2	off(eventType, handler) cannot filter one handler by identity (closures not comparable) -> silently fails to unregister that handler ||| on() dedup loop (_h[i].h === handler) not ported -> re-binding the same closure registers it twice and fires it twice		deferred=2
skipped	low	minor	90	1	Graphic	Sources/ZRenderKit/Graphic/Pattern.swift	upstream/zrender/src/graphic/Pattern.ts	0	1	image typed as String only; the ImageLike (native image-object) arm of the pattern source is a deferred seam, so image-object patterns are not representable		deferred=1
fixed	low	minor	92	3	chart	Sources/EChartsKit/chart/chord/ChordSeries.swift	upstream/echarts/src/chart/chord/ChordSeries.ts	1	1	beforeLink resolveParentPath (redirect 'label'->'edgeLabel' via wrapMethod/getModel swap) is a no-op stub; edge label option paths resolve against 'label' not 'edgeLabel'	af87b6e	addressed=1
fixed	low	minor	92	1	chart	Sources/EChartsKit/chart/funnel/FunnelSeries.swift	upstream/echarts/src/chart/funnel/FunnelSeries.ts	0	1	_defaultLabelLine is a deferred no-op: labelLine.show / emphasis.labelLine.show are not gated on label.show, and defaultEmphasis(labelLine) defaults are not applied	ad0794a	addressed=1
partial	low	minor	92	1	chart	Sources/EChartsKit/chart/helper/ECLine.swift	upstream/echarts/src/chart/helper/Line.ts	0	3	setLabelStyle inheritColor defaults to '#000' instead of upstream tokens.color.neutral99, so unstyled labels inherit black not off-white ||| curved-edge label uses chord tangent + quadratic midpoint approximation instead of line.tangentAt/pointAt(halfPercent), so curved label rotation/align can differ ||| beforeUpdate per-frame reposition replaced by build/update-time _positionEndsAndLabel; mid-animation parent-scale changes aren't re-applied each frame	866ea7b	addressed=2 | deferred=1
fixed	low	minor	92	1	chart	Sources/EChartsKit/chart/sankey/sankeyVisual.swift	upstream/echarts/src/chart/sankey/sankeyVisual.ts	0	1	sankeyMapValueToColor stand-in replaces VisualMapping; when dataExtent min==max (single/all-equal nodes) it clamps t=0 -> palette color[0], whereas VisualMapping's linearMap returns 0.5 -> mid-palette color, so equal-value node fills differ	3e79725	addressed=1
skipped	low	minor	92	2	chart	Sources/EChartsKit/chart/treemap/TreemapSeries.swift	upstream/echarts/src/chart/treemap/TreemapSeries.ts	0	2	getDataParams override (treeAncestors/treePathInfo via wrapTreePathInfo) deferred: user formatter callbacks receive no tree-ancestor path ||| designatedVisualModel captured a copy of designatedVisualItemStyle, so treemapVisual's write-through to designatedVisualModel.get(['itemStyle',...]) is not observed (level-model path compensates)		deferred=2
partial	low	minor	92	3	component	Sources/EChartsKit/component/axisPointer/BaseAxisPointer.swift	upstream/echarts/src/component/axisPointer/BaseAxisPointer.ts	1	2	updateProps drops the moveAnimation graphic.updateProps transition branch (and lastProp memo) — crosshair/handle jump to position instead of animating; _moveAnimation computed but inert ||| zr add/remove of group and handle replaced by hostAdd/hostRemove/hostAddHandle seam closures (ExtensionAPI has no getZr) — sanctioned host deviation, but pointer is unhosted if integrator omits them	b3958f8	addressed=1 | deferred=1
partial	low	minor	92	2	component	Sources/EChartsKit/component/brush/brushVisual.swift	upstream/echarts/src/component/brush/visualEncoding.ts	1	2	throttle wrapper deferred: a non-zero throttleDelay emits brushselected on every drag step instead of at-most-once-per-window (default delay 0 matches upstream) ||| stepAParallel is a no-op (Parallel.hasAxisBrushed/eachActiveState unported): brushLink selection made on a parallel axis does not propagate to other series	9bc37a6	addressed=1 | deferred=1
fixed	low	minor	92	2	component	Sources/EChartsKit/component/helper/cursorHelper.swift	upstream/echarts/src/component/helper/cursorHelper.ts	0	1	reads coordinateSystem only via `as? SeriesModel`; upstream uses CoordinateSystemHostModel, so an axis/grid model covering the target skips the coordSys/z-order check and always allows roam	415a3e8	addressed=1
fixed	low	minor	92	3	component	Sources/EChartsKit/component/marker/MarkerView.swift	upstream/echarts/src/component/marker/MarkerView.ts	0	1	updateZ's traverseUpdateZ(markerDraw.group, z, zlevel) is a no-op; marker group z/zlevel from model is not propagated — deferred pending a shared traverseUpdateZ util	1cfbffb	addressed=1
partial	low	minor	92	3	component	Sources/EChartsKit/component/timeline/TimelineAxis.swift	upstream/echarts/src/component/timeline/TimelineAxis.ts	0	1	getViewLabels override builds one label per tick, ignoring label.interval that upstream base createAxisLabels would honor	fa43e48	addressed=1 | deferred=1
